reviewText,Positive,sentiment,NaiveBayesSentiment
hooked addicted game.let say funnnn game able stop playing .. fun ! ! ! ! ( :,1,1,1
love game get . u gave game le five star rating would lunitic,1,1,1
call three next mario ? ? ? 'professional reviewer ' high ? ? ? ask fling bird bone . zero replay value .,0,1,0
"angry people book ! moron would waste time playing azimuth slingshot call cultural phenomenon ... word ( ? ? ? ) ... oh yes , moron ! ! ! 5 minute played thing still scar !",0,1,0
argry bird free play game kindlefirebecause free . play right .,0,1,1
"cant stand game . love concept played many type . give developer credit creating ton level , keep going hour . sound irritating . constant chirp annoying heck , play soun",0,1,1
n't really know point game . 's almost impossible knock stupid bird . waste time one ?,0,0,1
eden mine craft make apps buy able . eden mine fun fun fun . together stand strong apps come come . let fight eden mine craft pocket addition . let go strike ! ! ! madden.no freedem apps ! ! ! ! ! ! ! ! ! ! ! !,0,1,0
first game ok great . second way rated sling shot use bird kill pig ... rated,0,1,1
game rather ... retarded lack better word . would n't n't recommended anyone dont know anyone would bother .,0,1,0
game self good switch ad free original angry bird . n't like ad interfering game .,0,1,1
got thr upgrade soooooooooooooooooo . fun lille fish going tell much get free fun,1,1,1
"hey 's angry bird , 's love ! easy use new kindle hd could spend hour angry dang bird stomping pig , first shot !",1,1,1
"ca n't believe hard try hit target still ca n't make , 's good laugh oneself game good",1,1,1
n't like .i think kid . really many game,0,0,1
"got end pre-installed version . confused , checked online see app missing entire level . one post suggested downloading newer version . crash moment start .",0,0,0
hate say everything l got rid shut kindle stupid ! ! ! ! ! ! ! ! ! ! ? ? ? ? $ $ $ $ $ * & # 9733 ; & # 9733 ; * & # 9733 ;,0,0,0
hat never liked sucked boring like rio one tho one good sucked,0,1,0
hear app everywhere . everyone smartphone tablet see people playing time . terrible app . played 3 level could n't stand anymore . hate apps like doodle jump many oth,0,1,0
"'ll admit , 'm late game getting wonderful game , boy hooked ! mindless way spend hour time . go back work ?",1,1,1
"love angry bird , issue ad supported game . real issue & # 34 ; ad supported game & # 34 ; constantly launch full screen ad last substantially longer level played . game ad fine , w",0,1,0
love game level never time enjoy far get another update make delete version progress it.now rarely play always play level over.why,0,1,1
see nothing wrong game busy n't think 's fun . shoot pig bird . 's alp .,0,1,1
n't great get hard really frustrating . would n't get . 'm sad spent money .,0,1,1
keep telling & quot ; payment method need u credit card & quot ; even though already ! ! ? really want play ! ! helppp,0,1,0
"tried play game , lost interest tried play . try !",0,1,1
's ok n't type game could get deleted . someone told try 's downloaded first place .,0,1,0
"'ve played angry bird daughter tablet fun . free version introduced , thought dealing advertisement would affect enjoyment game . boy , wrong ! within 5 minute , removed app ! personally ,",0,1,0
wish icoulx.not give star rightnow ipod cnt download . saying credit free app,0,1,0
"look wonder girl . korea , trying make big usa english album & quot ; 2 different tear & quot ; teen nick movie , nobody give chance arent american . please support",1,1,0
"love game always play ! another need word , whats wrong love game ? good game ok ?",1,1,1
mighty eagle ! ! ! ! mighty eagle plush right right got last monday last week 's got dad said mighty eagle plush going come last tuesday came last monday came school sc,1,0,1
everyone computer game expert game come instruction even start . n't like .,0,0,1
omg fart :3 mean awsome ! ! ! ! ! ! ! ! ! u beleve love new update beacuse added power ups mostly love slingshot one make go faster,1,1,1
game stupid graphic primitive . want remove kindle . want game like popping star involve cerebral activity .,0,1,1
game fun first . would play like . would get hareder therefor would make game boring ! n't get angry bird space . wast money . everybody please take advice .,0,1,0
update power ai n't working . uninstalled 3 time still n't get update please fix,0,0,0
"app worst ever used . level stressful bird seem moron miss target everytime . also ever shut apps made appmaker , constantly run kill battery .",0,0,0
"app ok paid version still ad , different form . 's worse , 've uninstalled , amazon wo n't remove list , constant reminder never downloaded app .",0,1,0
game hard download.it would easier easier.but love game free .,0,1,1
"stupidest game far , even grandkids like , thik paid money ugh .",0,1,0
"though would fun boring get old fast , challenge ca n't see whole buzz",0,1,0
technical . got upset removed unit favor game like .,0,1,1
"unless 7 year old , boring hard manuver application . game redundant",0,0,0
using bird kill plain sickmy 3 year old loved started & # 34 ; killing & # 34 ; thing play time,0,1,1
"love beloved angry bird character app get really old mean really old , fun first couple time everyone shirt youtube video , mean really terrible lasting appeal",0,1,0
"20 godless inbred bafoons giving game 1 star , probably score i. q. lol kidding , seriously great game , good pas time , kid love . good catapult castle game",1,1,1
"apps appear device n't choose ? stop 's annoying , 'm ready return kindle keep ! !",0,1,0
"would n't load trio 4.3 & # 34 ; tablet . ca n't say hate like . perhaps 'll try later get dream tablet , 7 & # 34 ; samsung galaxy tab 3 .",0,1,0
angry bird boring knock pig bird flop stuff 's stupid .,0,0,0
cant install kindle fire file corupted witch b cant play game game need die . know b rovio fix please .,0,1,0
n't like game . ca n't see hipe . took `` kindle fire '' two wk.trial period .,0,0,0
n't like really boring game . probably wo n't play ever . buy sure ask lot word review .,0,1,0
free game added kindle christmas - deleted - alredy added . thanks,0,1,0
.i n't get bird angry.i n't get everyone like . fun game .,0,1,1
dont like . stink . take much make stupid pig die . dont die quick enough . bird never go want go . frustrating sometimes want throw kindle across room . better rovio .,0,1,1
n't like say get either addicted n't life got almost nothing else sinking almost dead dead oh ya also like posting random review,0,0,1
"n't understand high review great love people game . 'm glad n't waste money 99 cent version would n't buy 5 cent . n't take thought skill n't entertainment value , ne",0,1,1
n't stand big deal game dad love brother like n't stand whatever,0,1,0
n't understand game popular . found silly boring . hype ?,0,1,0
doundt think fee use mighty ehgle rate zero star ......,0,0,1
guess tell title 'm young . n't clue about.it 's relevant anything !,0,0,0
hate app much stink deleted shoot ugly bird kill pig . really rovio ? ? ?,0,0,0
"thought going best game ever boring . character really cute , 's thing . fling bird , try smash pig . maybe 's quirk , 's slow . take ten fifteen secon",0,1,0
"might seem fun first , awhile get totally boring.i got , kindle x-mas , first app.but , said ..... might seem fun first.worst app ever .",0,1,0
"'s regular version , n't like use . perhaps angry bird afficionado like .",0,0,0
"ok first round presented challenge , id like able win couple round ... ?",0,1,0
used love game boring 3 year ago n't get ppl still game got ta make game exciting u defeate,0,1,0
ivv given news block story open sand box game like mine craft rpg twist great website lot people answer question .,0,1,0
mostly kid game get boring good game young kid teach aggressive angry,0,1,1
omb ! love game ! ! ! ! ! game get soooooo booooring like first two level ! wtf ? really everyone & quot ; excited & quot ; ? well n't know see game . boring .,0,1,0
grandchild like keep busy grocery shopping n't get big rage .,0,1,0
app plain boring kill pig ( disappointed ) .what point app ? ? ? get app ! ! ! ! ! !,0,0,0
tame soooooo boring . even though free good buy . : ( u fling bird @ building .,0,1,0
many pop ups trying play game ! ! ! frustrating trying play deal pop ups .,0,1,1
"turn wifi ad , , , , , , , , , , , , , , , ,",0,0,1
game death ? best game child ! child n't playing game like ! really n't like app !,0,1,1
"know , whole phase killing handheld gaming industry . longer casuals get new handheld , ... play terrible slingshot game phone 's enough . know , n't really care th",0,1,0
extremely fun . ad n't bad n't interfere playing . ca n't believe waited long get .,1,1,1
angry bird best ! best part still play angry bird hooked internet . love love game ! !,1,1,1
angry bird game great game anyone . challenging fun well learning tool .,1,1,1
"buy ad free . worth penny cost . love angry bird ! developer genius . fun , fun game play alone someone else .",1,1,1
"free fun , could better ? enjoy playing angry bird ps3 app kindle , 's nice mini version .",1,1,1
"free fun , could better ? bird angry , 's everything expected , anyway , pig coming !",1,1,1
give chance decompress silly way . love complaining cheering level either lost .,1,1,1
"good fun game , purchased game amazon.com dont phone downloaded kindle",1,1,1
great app highly recommend easy use navigate must kindle owner fun play,1,1,1
addicted game . lot fun . sometimes one need mindless game play relax normal everyday toil .,1,1,1
"n't know series game , wo n't good trying explain . find someone tablet / smartphone , even roku x , become addicted solving puzzle .",1,1,1
never played angry bird . uploaded kindle fire fun play ! even though level get really hard totally reccomend also free getting good deal . : ),1,1,1
love angry bird ; ab game kindle fire hd . original favorite !,1,1,1
"love angry bird really addicting , love differnt way play game . love",1,1,1
play game almost every day . got update make new experience . waiting update . ad getting way .,1,1,1
"allows good progression level , great sound affect fun . love playing . mean , pig bird , fun .",1,1,1
really fun play increase skill make harder level really fun play .,1,1,1
"angry bird , addictive game . easy play , fun , addictive.still improving game , son already surpassed long time ago .",1,1,1
've allways hear angry bird game never play till fun play . like .,1,1,1
"daughter ipod got kindle fire , well ! love game !",1,1,1
grandson like play hook . got kindle wanted enjoy . free . free make difference .,1,1,1
never played love . would recommend anyone idle time looking good game .,1,1,1
purchased grand kid game really loved beat every game .,1,1,1
much fun.it 's make laugh hear pig making noise ... smile though n't beat level.like mocking ... lol,1,1,1
"goal take various bird various action , stretch back rubber band , aim green pig , knock ! ! !",1,0,1
"graphic , movement ... everything overall smooth . n't glitch sight . ad ? ad ! ? game play wont notice , pop every , creep unnoticed tiny space top",1,1,1
game great hole family play 's young people.my sister started got started 80 's brother 70 's guess ca n't stop would say 's quite game .,1,1,1
game work great running problem . also love kid love bad evil image worry .,1,1,1
first game app downloaded kindle fire app continuously go back play . many free apps download usually get uninstalled quickly .... angry bird ! great way pas time .,1,1,1
got kindle fire christmas . trying download free angry bird working . started load 2 hour ago . 2 percent still . piece crap : (,0,1,0
care game think boring game pointless : kindle fire,0,1,1
"hard control . adjusting fingertip screen seems nothing launch bird feel required , . sometimes completely ignores attempt launch entirely .",0,0,0
husband downloaded still n't see point game . popular ? mean kid playing n't get going . get fling bird pig ?,0,1,1
good ... game bad ... good ffor kid ... r throwing bird ! really people ... sue dumb people ! sue made angry bird . xhhshsjsjsnsn shshs,0,1,0
played app would load add . deleted would load run .,0,1,0
game many unbeatable . part absolutely duck 1star eeeeeeeeeeeeeeeeeeeeeeeeeeeeeewwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww ! ! ! ! ! ! ! ! ! ! ! ! ! people waste yo stupid app space 4 dis,0,0,0
probably one popluar game 've ever played . honest . first time played thought nothing it.just game fling thing thing . sound extremely dismissive cynical is.i sort grew u,0,1,0
"simple learn difficult master usually great sign game design . requires certain amount thinking finger gymnastics . much easier play larger screen.on dell streak , need remove sd card installing",1,1,1
fun game till ad block screen stupid film ad livid game lose shot,0,1,1
"game good . install one ad delete everything , complete level unlocks.it deleted progress .",0,1,0
game suck lame thing . yeah & hellip ; get different bird different power & hellip ; boring . people say 'it fun minute 's & hellip ; game & hellip ; sadly & hellip ;,0,1,0
dint understand everyone obsessed stupid game ! get hard nobody ever wan na play . red bird dosnt even anything . bottom line .. suck dont waste time dowloding space device .,0,1,0
's quite boring . n't get hype . stupid bird go exactly n't want go . aim right fail . 'm glad free version would n't buy people might somehow get fun,0,1,0
"'m big game player phone . rockin pc 19 & quot ; monitor game play . , say angry bird good , really mean . fun , addicitive challenging enough keep player interested ... without making impossible",1,1,1
n't likel bird ! guy fun watch play . love various level design created character . ca n't wait see/play future game .,1,1,1
need waste ten minute waiting someone great game . get addicting .,1,1,1
game like free steal get promise wo n't disappointed robin best never disappoint .,1,1,1
"easy play understand , character cute , game colorful , like able level pas",1,1,1
"try , addictive . definitely beat price . put away , n't get daily chore completed .",1,1,1
"standard original version game . many level , lot challenge . easy play lag issue loading . work like .",1,1,1
addicted angry bird ! great app work perfect kindle fire ! free plus !,1,1,1
"one started , angry bird ground breaking , lol game . tablet complete without . get , want like , every one dog .",1,1,1
love game.it worth wait downloading . would let get til registered gift card/credit card.every age enjoy .,1,1,1
"downloaded son 's nabi jr , 's one favorite game . angry bird free apps downloaded play better adult 5 year old .",1,1,1
good age ! tho definitely get harder make game . fun,1,1,1
well besides fact love angry bird 's fun cool plus 's many level free . 's disappointing,1,1,1
"free angry bird ... amazing , funny many different ( complicated ) level spent time . like every angry bird game .",1,1,1
"angry bird game , one fun addictive . free version ad supported make slower older phone . . .",1,1,1
great game helped pas time . wish level ca n't complain free game .,1,1,1
angry bird . like em . get em . play em . get come . word word,1,1,1
fun . took know certain thing . got eventually got money 's worth .,1,1,1
"addicting game age 3 . funny son first tried , sent bird backwards , , good challenge play level . hesitant game glad finally checked discovered h",1,1,1
's fun easy . level difficult addictive . one best game .,1,1,1
free app shocked see level included . lot hour play .,1,1,1
"game kept entertained week . must admit , reluctant jump 'angry bird ' wagon , ever glad ! clever , simple game ( sometimes best ) offer upgrade unlocks p",1,1,1
love game= ] 's nothing n't like game . first tried angry bird mom 's phone immediately hooked .,1,1,1
thank u making app ! ! sooooooo addicting ! ! 's love ! & lt ; 3 & rarr ; & heart ; ! ! reccomend app anyone want waste time playing game & hellip ; 5 & # 9733 ; 's,1,1,1
addicting game caused drain phone battery many time . larger screen kindle make bit easier 's got .,1,1,1
"ran battery daughter 's phone , found three version pc , two game fire . great fun , almost addictive , great time-waster - still great fun especially free game last hour hour",1,1,1
choose 5 star rating son enjoys playing angrybirds complained work . would recommend .,1,1,1
"love ! kid love . wife hate , 's luddite n't count . addictive game .",1,1,1
"long time since downloaded onto kindle , remember original ? ! either way , angry bird game know great !",1,1,1
think 5 year old love game u family . always say bingo get high score level . would recommend game one ! !,1,1,1
love game great stress reliever ... love display kindle fire . play hour time try better score going back replaying level .,1,1,1
"love play game regular computer , eye sight good ca n't play phone sure play computer .",1,1,1
two-year-old love game little video end allowed watch little mini cartoon angry bird 's fabulous thank,1,1,1
"something soothing music angry bird , wacky funny mostly addictive . angry ? fun game .",1,1,1
addictive game . whole family love game ! play try clear level . fun see stack friend family . sometimes play get 2 try clear board hand,1,1,1
game addictive . quite playing ad started popping much grand kid play often . ad immune think .,1,1,1
great child kindle . keep occupied fill time 're travelling home,1,1,1
"said angry bird . game everyone love , addicting ! ! would recommend anyone kindle .",1,1,1
great play fire ! bigger screne everthing haha . dont pay 99 & cent ; remove add . even add ! tiny little blip top corner . get get get !,1,1,1
one started ! ! rovio done great job concept . great time killer ! love !,1,1,1
"great game ! free game ad , however still lot fun play kindle fire .",1,1,1
theyve added bunch add anoying . mi got fisrt came uber add .,0,0,0
doesnt love addicting wife want divorce game im sticking birdie angry bird better angry woman great game,1,1,1
"fun 's kindle ! fun version , nothing like original good fun bird !",1,1,1
love angry bird addicting . love love love . worth download fun love,1,1,1
enjoyed angry bird free . lot fun whole family . easy use !,1,1,1
"love trying beat game . kid probably beat . one beat . hang'em high number 1. n't finished , 'll keep trying !",1,1,1
real challenge . think dad knowledge construction passed . helpful collapsing structure get frog . would n't enjoy ?,1,1,1
4 year-old grandson absolutely love ! play every time visit keep entertained !,1,1,1
"people think angry bird got kid , try love challenge getting next level . find 'm worried something wait appointment keep mind occupied .",1,1,1
"measure ability project speed location target , practice til get right , get angry , smile !",1,1,1
"game problem kindle fire ad .. nothing get upset . , free game advertisement ! even , game age . amazing game doubt ! ! !",1,1,1
addictive challenging ... would recommend anyone ... love ... sometimes make brain hurt trying figure strategy ..,1,1,1
"game highly addicting , lot fun . thin n't like far annoying screen asks user pay game playing . right middle game play , abruptly stop du",1,1,1
love angry bird . think best game world . everyone play angry bird . & lt ; 3 ( & deg ; ^ & deg ; ),1,1,1
enjoy playing lt much play every day lt diffence form gamei plaved,1,1,1
fun game everyone age family friend get together play,1,1,1
angry bird really dont need say . mean come game fun,1,1,1
great fun everyone family ! kid play trip ! get husband put .,1,1,1
love playing game son addictive ughhh lol recommend angry bird.apps game,1,1,1
angry bird game lose time ! though great game ! app since either last may another year back yet probs . ad u exit . great fun game,1,1,1
love angry bird 360 well kindle fire hd ! great product ! ..,1,1,1
downloaded game last night daughter played battery died . kindle charged playing morning . 's addictive .,1,1,1
"one started angry bird series , much say fun fun fun fun fun",1,1,1
game awesome great way pas time hate ad amazon get rid ad without spending money ? epic game : ),1,1,1
heard lot people talking crazy game tried . sure fun ! 'd recommend anyone . entertaining !,1,1,1
never played game heard good thing . addictive . got plan time play 'll play time .,1,1,1
love angry bird . addicting challenging game . much harder thought would get thinking along fun .,1,1,1
"original game best game time , even sequel good . recent game power ups ruined .. 's longer worthy best game ... left alone .. good thing ,",0,1,0
"interesting good kid . love game started playing , favorite game . love bird .",1,1,1
grand kid play trip well worth load think awesome would get fast,1,1,1
angry bird fun play somewhat challenging . good sample game play .,1,1,1
"game full variety , find level frustrating , pain ! sorry .",1,0,1
everyone love game addicting play stop one best free apps,1,1,1
"rating 6 year old angry bird year ! fun , let play !",1,1,1
"first got kindle fire , got several game grandkids play -- one one ask play . also hit hubby !",1,1,1
angry bird first non console hand held game ever played . fun instant played . want keep playing get snarky pig ! gameplay easy . use finger launch bird across,1,1,1
"good fun whole family , keep toe trying get level , around fun game play .",1,1,1
"game addicting ! little issue , like bird supposed tap screen , happens rarely . awesome game ! ca n't wait get next one : - )",1,1,1
wanted game kindle . easy learn played time .,1,1,1
yes ! ! bird laugh miss make want get . love way game strategy plus entertainment .,1,1,1
love game play almost every day highly recommend game people device get game .,1,1,1
fun game hard stop playing . rated 5 star would recommend everyone .,1,1,1
"always loved game , 'm horrible . anyone give angry bird lesson ? 'll first sign !",1,1,1
like playing game . addictive try get next level time .,1,1,1
another one grandson granddaughter favorite . young old house like game . fun,1,1,1
"great little game kid free , like play sometimes try n't like n't blown yor gaming budget",1,1,1
"could n't believe game drew . quickly played level , started back achieve 3 star level . proving real challenge . us lot time , hard put .",1,1,1
"daughter get game , think thier okay , love , whatever make yr kid happy , leave alone little okay .",1,1,1
wife play game kindle really like . recommends anyone play computer game .,1,1,1
"think everyone played . ad supported version , little annoying serious enough game get way .",1,1,1
"great way pas time ..... addictive free app , fun trying increase score !",1,1,1
game great fun culture . n't get first playing short time addictive . next thing know 1am shut get sleep .,1,1,1
"4 year old grandson much fun showing play mini ipad decided see could get kindle fire ! found , spent night w/ showed , liked better one",1,1,1
love game ! free .. never played angry bird try one see fuss ! !,1,1,1
"start playing game , hard stop . get caught forget everything else .",1,1,1
angry bird one first apps place whole family device . # 1 game house .,1,0,1
angry bird every device love play although 'm really great game although still love play .,1,1,1
's angry bird . probably famous phone/tablet game existence . 're going enjoy might well download .,1,1,1
"addicted game . even ca n't beat level use eagle , go back keep trying waiting eagle come , get frustrated level ...",1,0,1
glad angry bird coming different theme like space beach scene . son love .,1,1,1
love game 's free lot advertisement come every level 's little annoying much . download .,1,1,1
everyone love game addicted game ever ! stop playing game ! great graphic everything !,1,1,1
like red mighty feather lost mean added horrible update unique 's like level,1,1,0
"program problem opening installed successfully . tried deleting reinstalling avail . would like know , else ?",1,1,1
"loved playing angry bird mom 's ipad , got kindle fire pleased see free angry bird app kindle . = ) love playing time kill , kid love , . however , playing kindl",1,1,1
n't like angry bird ? first game kindle remains one favorite . fun !,1,1,1
first time played ! addictive ! would recommend others get app ! star war one fun !,1,1,1
kind boring - novelty worn . 've already removed tablet . set .,0,1,0
tried game everyone said much fun . n't care game 's reason rating .,0,1,1
always playing game much fun addicting play love much,1,1,1
"wow , ver funny fun game . start play put away day .",1,1,1
fun game . play hour . like sound make . love accidently send little fellow backwards ! ! !,1,1,1
"like game kinda moved apps . maybe , return later date . love big black bird blow everything .",1,1,0
addictive game . wish would came idea angry bird . wish would update add level .,1,1,1
's hard say love miserable pig keep smiling blinking ! 's still fun .,1,1,1
"nice game . never played angry bird . , purchased tablet , one first game downloaded . become addictive short amount time . nice way waste spare time .",1,1,1
love game ! ! ! graphic music fun . make smile . 's surprise 's popular,1,1,1
great graphic work great kindle fire hd love level . wish could get connect facebook,1,1,1
"game addictive - harder try , want beat . good age .",1,1,1
everyone playing game .... lot fun hour entertainment . frustrating level make want accomplish level .... truly fun game . strategy needed ... offer learning well . think everyh,1,1,1
neat thing angry bird much variety game . never get tired !,1,1,1
"well never played angry bird , son sure love . 's happy !",1,1,1
addicting game - lot 's fun . find game quite challenging . firsttime played game - grandkids play time i-pods .,1,1,1
angry bird every tablet phone . 's addicting super fun knock smug piggy !,1,1,1
ad annoying pop awhile unlike game pop round played .,1,1,0
easy get hooked complete waste time .... one two enjoyable game play .,1,1,1
really like angry bird . cute . also great purchase . age enjoy game .,1,1,1
"5 yr old love game , play almost time 's favorite game , personally n't play , think kool .",1,1,1
love game ! ad . update amazing ! love new level ! go bird ! !,1,1,1
's easy grandkids pick skill needed play game . good quiet time rainy day .,1,1,1
another great game fun play . play long short time available still fun .,1,1,1
could play would like fix would work someone could play .,0,1,1
think awesome play kindle like playing good pas time waiting,1,1,1
"love app . 's much fun play easy learn . best , 's free . kid adult alike like one .",1,1,1
wonderful time suck . wish could pas level bit quicker . take bit get .,1,1,1
started playing game 9:00 pm could n't stop 2:00 . 's fun challenge kid adult alike enjoy . creativity 's best !,1,1,1
'm hooked . drive nut keep entertained coming back . see bif hit .,1,1,1
work well kindle fire . would recommend . fun play . lock ups . good graphic . nothing else add .,1,1,1
addicted game.it made go buy angry bird star wars.i highly recommend .,1,1,1
"'s angry bird kindle . look great kindle fire hd , 's fun play 'm bored .",1,1,1
"angry bird one first game hit absolute popularity mobile gaming market , 's still good ever . ad n't bother even hate , turn wifi playing game . lot level",1,1,1
great way waste time . 7 year old love compete high score ! great load !,1,1,1
's like playing angry bird phone wider screen make much easier,1,1,1
app great fun addicting . much better tablet small touch screen phone .,1,1,1
"bird back free version original keeping kid happy satisfied pecking action . n't problem running game n't level real game , 's still addictiv",1,1,1
